gene,log2FoldChange,pvalue,padj
Pex16,0.085129454,0.00157242,0.002649535
Dph1,0.060730614,0.001574467,0.002652723
Cavin4,0.236292669,0.001579815,0.002661473
Dnajc19,0.066381724,0.001581171,0.002663496
9330102E08Rik,-0.081612206,0.001588769,0.002676033
Grhl3,0.222681003,0.00158966,0.002677273
Strn4,-0.047905146,0.001591822,0.002680653
Pus1,-0.072741488,0.001597881,0.002690592
Higd1b,0.141515127,0.001606099,0.002704166
Mtcl3,-0.090221209,0.001610728,0.002711429
Tmem128,-0.067500174,0.001610697,0.002711429
Mfap1a,-0.060531463,0.001614779,0.002717982
Npsr1,-0.459732941,0.001615578,0.002719061
A930006K02Rik,0.285042292,0.001616808,0.002720866
Hmbox1,-0.072877323,0.001617997,0.002722401
Usp39,-0.047029598,0.001618037,0.002722401
Hmgn5,-0.0926325,0.001620813,0.002726806
2810013P06Rik,0.073618755,0.001621573,0.002727817
Teddm2,-0.309211636,0.001627582,0.002737658
0610040J01Rik,0.107722789,0.001628043,0.002738167
Nfatc2ip,0.071635192,0.001629867,0.002740967
Tceal7,-0.169746458,0.001632756,0.002745556
Gng10,0.0779084,0.001634033,0.002747435
Peds1,-0.055919193,0.001638511,0.002754695
Gm12788,-0.199523616,0.00163883,0.002754963
Hectd2os,0.218431855,0.001641959,0.002759953
Naxd,0.064983581,0.001643368,0.002762053
Poldip2,-0.048625955,0.001645355,0.002765122
Ppargc1b,-0.14558053,0.001646134,0.00276616
2310033P09Rik,-0.105859974,0.001653385,0.002778075
Cct2,-0.040553997,0.001660516,0.002789784
Gatad2b,0.086875782,0.001666954,0.002800327
Tubgcp6,-0.07205809,0.001668372,0.002802435
Gm9625,0.203457378,0.001674888,0.002813105
Gm49745,0.270074687,0.0016757,0.002814195
Hk1,-0.064000298,0.001676596,0.002815426
Frat1,0.106158239,0.001680616,0.0028219
Ssrp1,0.038680278,0.001682521,0.002824823
Pxmp2,0.138678291,0.001690197,0.002837434
Gm34655,0.316003699,0.001697285,0.002849056
Sri,0.052124291,0.001699192,0.002851978
ENSMUSG00000121485,-0.090829197,0.001699644,0.002852458
Dhodh,-0.067107542,0.001706284,0.002863324
Pde10a,-0.102572562,0.001707134,0.00286447
Pitrm1,0.064871474,0.001708446,0.002866392
Zfp65,0.064646256,0.001712112,0.002872264
2510002D24Rik,0.088945054,0.001714141,0.002875387
Gpt,-0.114204877,0.00171765,0.002880993
Ctps1,-0.054647566,0.001722563,0.002888951
Gm3150,0.190110193,0.001728313,0.002898313
Ccdc122,0.441320483,0.001729395,0.002899845
Dnajc8,0.043957169,0.00173229,0.002904417
